"","adaptive capacity","agricultural water use","biodiversity","ecosystem services","environmental disturbance regimes","forest management approaches and the wildfire response","formal legal governance, policy, and policy innovations","incorporation of traditional watershed knowledges into broader understanding and approaches","informal governance","infrastructure","land use and land cover","municipal water use","public watershed education approaches and knowledge","social capital including trust, collaboration, and partnership","soil structure and function","technical innovations","water quality, quantity, and availability","watershed economics","weather and climate regimes","the wildfire regime"
"agricultural water use",1.83333333333333,NA,2.22222222222222,2.14285714285714,2.28571428571429,1.5,2.5,1.66666666666667,2,2.16666666666667,2.6,2.33333333333333,1.57142857142857,2.125,2,2.5,2.75,2.4,2.55555555555556,2
"biodiversity",2,2.14285714285714,NA,2,2.85714285714286,2,2,1.33333333333333,1.71428571428571,1.83333333333333,2.6,2,1.85714285714286,1.75,2.33333333333333,1.875,2.875,1.6,2.77777777777778,2.66666666666667
"ecosystem services",2.16666666666667,2,2.44444444444444,NA,2.71428571428571,2.33333333333333,1.875,1.5,1.57142857142857,1.83333333333333,2.6,1.88888888888889,1.57142857142857,1.75,2.33333333333333,1.625,2.75,1.6,2.77777777777778,2.83333333333333
"environmental disturbance regimes",2.16666666666667,1.85714285714286,2.11111111111111,1.42857142857143,NA,2,2,1.66666666666667,1.57142857142857,1.5,1.6,1.55555555555556,1.42857142857143,1.875,2,2,2.25,1.6,2.55555555555556,2
"forest management approaches and the wildfire response",2,1.71428571428571,2.33333333333333,1.71428571428571,1.85714285714286,NA,2.375,2,2.14285714285714,1.66666666666667,2.2,1.66666666666667,1.57142857142857,2.25,1.83333333333333,2.125,2.625,1.6,2.33333333333333,2.83333333333333
"formal legal governance, policy, and policy innovations",1.83333333333333,2,1.88888888888889,1.57142857142857,1.57142857142857,1.66666666666667,NA,1.5,2,1.5,1.4,2.11111111111111,2,2.25,1.83333333333333,2.375,2.125,1.8,2,1.5
"incorporation of traditional watershed knowledges into broader understanding and approaches",2,1.42857142857143,1.44444444444444,1.42857142857143,1.14285714285714,1.5,1.5,NA,2.14285714285714,1.5,1.6,1.44444444444444,1.85714285714286,2.375,1.83333333333333,1.875,1.875,1.4,2,1.5
"informal governance",2.16666666666667,1.85714285714286,1.66666666666667,1.42857142857143,1.57142857142857,1.83333333333333,2.375,1.66666666666667,NA,1.33333333333333,1.6,1.55555555555556,1.85714285714286,2.875,1.5,2.125,2.375,1.4,1.88888888888889,1.83333333333333
"infrastructure",1.83333333333333,2,1.66666666666667,1.57142857142857,1.71428571428571,1.33333333333333,2.125,1.5,1.42857142857143,NA,2,2.11111111111111,1.71428571428571,1.75,2.16666666666667,2.5,2.125,2,1.88888888888889,1.83333333333333
"land use and land cover",2,2.42857142857143,2,1.85714285714286,2.57142857142857,2.33333333333333,2,2,1.71428571428571,1.66666666666667,NA,2,1.57142857142857,2,2.33333333333333,2.125,2.625,2,2.33333333333333,2.66666666666667
"municipal water use",1.83333333333333,2.42857142857143,1.77777777777778,1.85714285714286,1.85714285714286,1.66666666666667,2.375,1.5,1.57142857142857,2.33333333333333,2.4,NA,2.14285714285714,2,2,2.625,2.5,2.2,2.33333333333333,2.16666666666667
"public watershed education approaches and knowledge",1.66666666666667,1.57142857142857,1.55555555555556,1.57142857142857,1.42857142857143,2,2,2.16666666666667,1.71428571428571,2,1.6,1.88888888888889,NA,2.375,1.83333333333333,2,2.125,1.8,1.88888888888889,2.16666666666667
"social capital including trust, collaboration, and partnership",2.16666666666667,1.85714285714286,2,1.57142857142857,1.57142857142857,1.83333333333333,2.5,2,2.42857142857143,1.83333333333333,1.2,2,2.14285714285714,NA,2,1.75,1.875,1.8,1.44444444444444,1.66666666666667
"soil structure and function",1.66666666666667,2.14285714285714,2.33333333333333,1.71428571428571,2.42857142857143,2,1.75,1.5,1.71428571428571,1.66666666666667,2.4,1.55555555555556,1.85714285714286,2,NA,1.625,2,1.6,2.44444444444444,2.5
"technical innovations",1.83333333333333,2.14285714285714,2,2,1.42857142857143,1.5,2.125,1.16666666666667,1.71428571428571,2,1.4,1.77777777777778,1.85714285714286,2.125,1.83333333333333,NA,2,2,1.88888888888889,1.33333333333333
"water quality, quantity, and availability",2,2.71428571428571,1.88888888888889,2.42857142857143,2.42857142857143,2.5,2.25,1.33333333333333,1.57142857142857,2.83333333333333,2.2,2.55555555555556,1.71428571428571,1.875,2.33333333333333,2.375,NA,2.4,2.88888888888889,2.66666666666667
"watershed economics",2,2.28571428571429,1.77777777777778,2,1.57142857142857,1.5,2.25,1.5,1.71428571428571,2.5,2.2,2.11111111111111,1.57142857142857,2,1.83333333333333,2.125,2.5,NA,2,1.66666666666667
"weather and climate regimes",1.83333333333333,2,2.11111111111111,1.71428571428571,2.14285714285714,1.5,2,1.83333333333333,1.85714285714286,1.83333333333333,1.4,2,2,2,2.16666666666667,1.625,2,1.8,NA,1.83333333333333
"the wildfire regime",1.66666666666667,1.71428571428571,2.22222222222222,1.57142857142857,2.42857142857143,2.66666666666667,1.875,1.5,1.57142857142857,1.5,2,1.88888888888889,1.85714285714286,1.625,1.83333333333333,1.75,2.375,1.4,2.88888888888889,NA
"adaptive capacity",NA,2,2.33333333333333,2.42857142857143,2.14285714285714,2,2.375,2,2.28571428571429,1.83333333333333,2,2,1.85714285714286,2.5,1.83333333333333,2.125,2.375,2,2.33333333333333,2.33333333333333
