"","ad_cap","ag_h2o","biodiv","eco_serv","disturb","for_mgmt","gov_pol","trad_know","inf_gov","infra","lulc","city_h2o","ws_edu","soc_cap","soil","tech_inn","h2o","ws_econ","wtr_clm","fire"
"ag_h2o",1.83333333333333,NA,2.22222222222222,2.14285714285714,2.28571428571429,1.5,2.5,1.66666666666667,2,2.16666666666667,2.6,2.33333333333333,1.57142857142857,2.125,2,2.5,2.75,2.4,2.55555555555556,2
"biodiv",2,2.14285714285714,NA,2,2.85714285714286,2,2,1.33333333333333,1.71428571428571,1.83333333333333,2.6,2,1.85714285714286,1.75,2.33333333333333,1.875,2.875,1.6,2.77777777777778,2.66666666666667
"eco_serv",2.16666666666667,2,2.44444444444444,NA,2.71428571428571,2.33333333333333,1.875,1.5,1.57142857142857,1.83333333333333,2.6,1.88888888888889,1.57142857142857,1.75,2.33333333333333,1.625,2.75,1.6,2.77777777777778,2.83333333333333
"disturb",2.16666666666667,1.85714285714286,2.11111111111111,1.42857142857143,NA,2,2,1.66666666666667,1.57142857142857,1.5,1.6,1.55555555555556,1.42857142857143,1.875,2,2,2.25,1.6,2.55555555555556,2
"for_mgmt",2,1.71428571428571,2.33333333333333,1.71428571428571,1.85714285714286,NA,2.375,2,2.14285714285714,1.66666666666667,2.2,1.66666666666667,1.57142857142857,2.25,1.83333333333333,2.125,2.625,1.6,2.33333333333333,2.83333333333333
"gov_pol",1.83333333333333,2,1.88888888888889,1.57142857142857,1.57142857142857,1.66666666666667,NA,1.5,2,1.5,1.4,2.11111111111111,2,2.25,1.83333333333333,2.375,2.125,1.8,2,1.5
"trad_know",2,1.42857142857143,1.44444444444444,1.42857142857143,1.14285714285714,1.5,1.5,NA,2.14285714285714,1.5,1.6,1.44444444444444,1.85714285714286,2.375,1.83333333333333,1.875,1.875,1.4,2,1.5
"inf_gov",2.16666666666667,1.85714285714286,1.66666666666667,1.42857142857143,1.57142857142857,1.83333333333333,2.375,1.66666666666667,NA,1.33333333333333,1.6,1.55555555555556,1.85714285714286,2.875,1.5,2.125,2.375,1.4,1.88888888888889,1.83333333333333
"infra",1.83333333333333,2,1.66666666666667,1.57142857142857,1.71428571428571,1.33333333333333,2.125,1.5,1.42857142857143,NA,2,2.11111111111111,1.71428571428571,1.75,2.16666666666667,2.5,2.125,2,1.88888888888889,1.83333333333333
"lulc",2,2.42857142857143,2,1.85714285714286,2.57142857142857,2.33333333333333,2,2,1.71428571428571,1.66666666666667,NA,2,1.57142857142857,2,2.33333333333333,2.125,2.625,2,2.33333333333333,2.66666666666667
"city_h2o",1.83333333333333,2.42857142857143,1.77777777777778,1.85714285714286,1.85714285714286,1.66666666666667,2.375,1.5,1.57142857142857,2.33333333333333,2.4,NA,2.14285714285714,2,2,2.625,2.5,2.2,2.33333333333333,2.16666666666667
"ws_edu",1.66666666666667,1.57142857142857,1.55555555555556,1.57142857142857,1.42857142857143,2,2,2.16666666666667,1.71428571428571,2,1.6,1.88888888888889,NA,2.375,1.83333333333333,2,2.125,1.8,1.88888888888889,2.16666666666667
"soc_cap",2.16666666666667,1.85714285714286,2,1.57142857142857,1.57142857142857,1.83333333333333,2.5,2,2.42857142857143,1.83333333333333,1.2,2,2.14285714285714,NA,2,1.75,1.875,1.8,1.44444444444444,1.66666666666667
"soil",1.66666666666667,2.14285714285714,2.33333333333333,1.71428571428571,2.42857142857143,2,1.75,1.5,1.71428571428571,1.66666666666667,2.4,1.55555555555556,1.85714285714286,2,NA,1.625,2,1.6,2.44444444444444,2.5
"tech_inn",1.83333333333333,2.14285714285714,2,2,1.42857142857143,1.5,2.125,1.16666666666667,1.71428571428571,2,1.4,1.77777777777778,1.85714285714286,2.125,1.83333333333333,NA,2,2,1.88888888888889,1.33333333333333
"h2o",2,2.71428571428571,1.88888888888889,2.42857142857143,2.42857142857143,2.5,2.25,1.33333333333333,1.57142857142857,2.83333333333333,2.2,2.55555555555556,1.71428571428571,1.875,2.33333333333333,2.375,NA,2.4,2.88888888888889,2.66666666666667
"ws_econ",2,2.28571428571429,1.77777777777778,2,1.57142857142857,1.5,2.25,1.5,1.71428571428571,2.5,2.2,2.11111111111111,1.57142857142857,2,1.83333333333333,2.125,2.5,NA,2,1.66666666666667
"wtr_clm",1.83333333333333,2,2.11111111111111,1.71428571428571,2.14285714285714,1.5,2,1.83333333333333,1.85714285714286,1.83333333333333,1.4,2,2,2,2.16666666666667,1.625,2,1.8,NA,1.83333333333333
"fire",1.66666666666667,1.71428571428571,2.22222222222222,1.57142857142857,2.42857142857143,2.66666666666667,1.875,1.5,1.57142857142857,1.5,2,1.88888888888889,1.85714285714286,1.625,1.83333333333333,1.75,2.375,1.4,2.88888888888889,NA
"ad_cap",NA,2,2.33333333333333,2.42857142857143,2.14285714285714,2,2.375,2,2.28571428571429,1.83333333333333,2,2,1.85714285714286,2.5,1.83333333333333,2.125,2.375,2,2.33333333333333,2.33333333333333
