"","adaptive capacity","agricultural water use","biodiversity","ecosystem services","environmental disturbance regimes","forest management approaches and the wildfire response","formal legal governance, policy, and policy innovations","incorporation of traditional watershed knowledges into broader understanding and approaches","informal governance","infrastructure","land use and land cover","municipal water use","public watershed education approaches and knowledge","social capital including trust, collaboration, and partnership","soil structure and function","technical innovations","water quality, quantity, and availability","watershed economics","weather and climate regimes","the wildfire regime"
"agricultural water use",2,NA,1.55555555555556,2.42857142857143,2.42857142857143,1.5,2.875,2.5,2.14285714285714,2.5,3,2.22222222222222,1.42857142857143,1.875,2.5,2.75,2.875,2.8,2.66666666666667,2.33333333333333
"biodiversity",1.83333333333333,2.42857142857143,NA,2.42857142857143,2.85714285714286,2.66666666666667,2.375,2.33333333333333,1.85714285714286,2.33333333333333,3,2,1.42857142857143,1.25,2.83333333333333,1.75,3,2,3,2.83333333333333
"ecosystem services",2.5,2.42857142857143,2.88888888888889,NA,3,2.66666666666667,2.25,2.33333333333333,2,2.5,3,2.44444444444444,1.28571428571429,1.125,2.66666666666667,1.875,2.875,1.4,2.66666666666667,3
"environmental disturbance regimes",2.5,2.14285714285714,2.11111111111111,2.14285714285714,NA,2.16666666666667,2.25,2.33333333333333,1.28571428571429,1.5,2.2,1.44444444444444,1.28571428571429,1.625,2.16666666666667,1.875,2.5,1.2,2.66666666666667,2.16666666666667
"forest management approaches and the wildfire response",2.5,1,2,2,2.28571428571429,NA,2.75,2.83333333333333,2.28571428571429,1.83333333333333,2.4,1.55555555555556,2.28571428571429,2.375,1.66666666666667,2.5,2.625,2.2,2.55555555555556,2.83333333333333
"formal legal governance, policy, and policy innovations",2.33333333333333,2.14285714285714,1.55555555555556,2.14285714285714,2.14285714285714,1.83333333333333,NA,2.33333333333333,2.42857142857143,1.5,1.6,2.11111111111111,2.42857142857143,2.75,0.833333333333333,2.25,2.625,2.8,2,2
"incorporation of traditional watershed knowledges into broader understanding and approaches",2.16666666666667,1.57142857142857,1.33333333333333,2.14285714285714,1.71428571428571,1.66666666666667,1.75,NA,2.42857142857143,1,1.6,1.44444444444444,2.42857142857143,3,1.16666666666667,1.625,2.125,1.8,1.44444444444444,1.83333333333333
"informal governance",2.5,2.14285714285714,1.44444444444444,2.28571428571429,2.14285714285714,2.16666666666667,2.625,2.66666666666667,NA,1.66666666666667,2,2.11111111111111,2.28571428571429,3,1,1.75,2.375,2.6,2,2.16666666666667
"infrastructure",1.83333333333333,2,0.777777777777778,2.14285714285714,1.85714285714286,2.5,2.625,2.16666666666667,1.14285714285714,NA,2,2.22222222222222,1.28571428571429,1.625,1.33333333333333,2.5,2.25,2.6,1.88888888888889,2.16666666666667
"land use and land cover",2.16666666666667,2.57142857142857,2.33333333333333,2.14285714285714,2.85714285714286,3,2.75,2.66666666666667,2,2.33333333333333,NA,2.22222222222222,1.28571428571429,1.875,2.66666666666667,2.125,2.875,2.4,2.55555555555556,2.83333333333333
"municipal water use",2.16666666666667,2.71428571428571,0.888888888888889,2.28571428571429,2.14285714285714,2,2.75,2,1.71428571428571,2.66666666666667,2.8,NA,2.71428571428571,2,1.5,2.625,2.75,2.8,2.11111111111111,2.5
"public watershed education approaches and knowledge",2.16666666666667,1.57142857142857,1.77777777777778,2.14285714285714,2.42857142857143,2,2.375,2.83333333333333,2,1.66666666666667,1.4,2.11111111111111,NA,2.5,1.16666666666667,2.125,2.375,2.2,2,2.66666666666667
"social capital including trust, collaboration, and partnership",2.83333333333333,1.71428571428571,1.33333333333333,2,2.14285714285714,1.83333333333333,2.25,2.66666666666667,2.71428571428571,2.66666666666667,1.8,2.22222222222222,2.71428571428571,NA,0.833333333333333,1.75,2.25,2.2,1.55555555555556,2.16666666666667
"soil structure and function",1.66666666666667,2.57142857142857,2.55555555555556,2.28571428571429,2.71428571428571,2.5,1.125,2,1.28571428571429,1.66666666666667,3,1.66666666666667,0.857142857142857,0.875,NA,1.75,2.625,1.4,2.77777777777778,2.66666666666667
"technical innovations",2.33333333333333,2,1,2,2.42857142857143,1.83333333333333,2.125,2,2.28571428571429,2.33333333333333,1.6,2.33333333333333,2,2.375,1.16666666666667,NA,2.875,2.8,2.22222222222222,1.83333333333333
"water quality, quantity, and availability",2.33333333333333,2.71428571428571,2.33333333333333,2.85714285714286,3,3,2.75,2,2,3,2.8,2.77777777777778,1.85714285714286,1.625,2.83333333333333,2.875,NA,2.6,3,2.83333333333333
"watershed economics",2.33333333333333,2.57142857142857,1.33333333333333,2.57142857142857,2.42857142857143,2,2.5,2.16666666666667,2.42857142857143,3,2.6,2.55555555555556,1.57142857142857,2,1.33333333333333,2.5,2.75,NA,2.22222222222222,2.33333333333333
"weather and climate regimes",1,0.857142857142857,1.22222222222222,1.14285714285714,1.42857142857143,1,0.875,1,1,0.666666666666667,0.6,0.666666666666667,0.571428571428571,1.125,1,1.375,1.625,0.8,NA,1.16666666666667
"the wildfire regime",2.16666666666667,1.42857142857143,2,1.85714285714286,3,3,2,2,1.71428571428571,1.5,2.6,1,1.42857142857143,1.5,2,1.625,2.5,1.2,3,NA
"adaptive capacity",NA,2.57142857142857,2.55555555555556,2.85714285714286,3,2.66666666666667,2.875,3,2.42857142857143,2.33333333333333,2.6,2.33333333333333,2,3,2.16666666666667,2.75,2.75,2.8,2.66666666666667,2.66666666666667
