"","ad_cap","ag_h2o","biodiv","eco_serv","disturb","for_mgmt","gov_pol","trad_know","inf_gov","infra","lulc","city_h2o","policy_inn","ws_edu","soc_cap","soil","tech_inn","h2o","ws_econ","wtr_clm","fire"
"ad_cap",0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2
"ag_h2o",2,0,2,2,2,0,1,0,2,1,2,2,1,1,2,2,1,2,2,1,1
"biodiv",3,1,0,3,2,2,2,1,2,0,2,0,0,2,1,3,0,2,1,1,2
"eco_serv",3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"disturb",3,2,2,3,0,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,3
"for_mgmt",2,0,2,2,2,0,1,1,1,2,3,1,1,1,1,2,1,3,2,0,3
"gov_pol",2,2,2,2,1,2,0,2,2,2,2,2,1,2,2,0,2,3,2,0,2
"trad_know",3,2,2,2,2,3,2,0,2,2,3,2,2,2,2,2,2,2,2,0,2
"inf_gov",2,2,2,2,1,2,2,2,0,0,1,2,2,2,2,1,2,2,2,0,2
"infra",2,2,2,2,1,1,0,0,0,0,2,2,1,0,3,2,1,3,3,0,1
"lulc",2,3,3,3,2,2,1,1,2,2,0,3,1,0,2,3,2,3,2,0,2
"city_h2o",3,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,3,2,0,0
"policy_inn",3,2,2,2,2,3,3,2,2,2,2,2,0,2,2,2,2,2,2,0,2
"ws_edu",2,1,2,1,1,2,2,2,2,0,1,2,2,0,2,0,2,1,0,0,0
"soc_cap",3,0,0,0,0,2,2,3,3,0,0,1,2,2,0,0,2,1,2,0,0
"soil",2,2,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
"tech_inn",2,2,2,1,0,2,0,0,0,3,1,2,1,2,2,2,0,2,2,0,1
"h2o",2,2,3,3,2,3,2,2,2,2,3,2,1,2,2,2,3,0,3,0,2
"ws_econ",3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,1
"wtr_clm",2,3,3,3,3,2,1,1,2,2,3,2,2,2,2,3,3,3,2,0,3
"fire",2,2,2,3,2,3,1,2,1,1,2,2,2,2,2,2,1,2,2,1,0
