"","ad_cap","ag_h2o","biodiv","eco_serv","disturb","for_mgmt","gov_pol","trad_know","inf_gov","infra","lulc","city_h2o","ws_edu","soc_cap","soil","tech_inn","h2o","ws_econ","wtr_clm","fire"
"ag_h2o",2,NA,1.55555555555556,2.42857142857143,2.42857142857143,1.5,2.875,2.5,2.14285714285714,2.5,3,2.22222222222222,1.42857142857143,1.875,2.5,2.75,2.875,2.8,2.66666666666667,2.33333333333333
"biodiv",1.83333333333333,2.42857142857143,NA,2.42857142857143,2.85714285714286,2.66666666666667,2.375,2.33333333333333,1.85714285714286,2.33333333333333,3,2,1.42857142857143,1.25,2.83333333333333,1.75,3,2,3,2.83333333333333
"eco_serv",2.5,2.42857142857143,2.88888888888889,NA,3,2.66666666666667,2.25,2.33333333333333,2,2.5,3,2.44444444444444,1.28571428571429,1.125,2.66666666666667,1.875,2.875,1.4,2.66666666666667,3
"disturb",2.5,2.14285714285714,2.11111111111111,2.14285714285714,NA,2.16666666666667,2.25,2.33333333333333,1.28571428571429,1.5,2.2,1.44444444444444,1.28571428571429,1.625,2.16666666666667,1.875,2.5,1.2,2.66666666666667,2.16666666666667
"for_mgmt",2.5,1,2,2,2.28571428571429,NA,2.75,2.83333333333333,2.28571428571429,1.83333333333333,2.4,1.55555555555556,2.28571428571429,2.375,1.66666666666667,2.5,2.625,2.2,2.55555555555556,2.83333333333333
"gov_pol",2.33333333333333,2.14285714285714,1.55555555555556,2.14285714285714,2.14285714285714,1.83333333333333,NA,2.33333333333333,2.42857142857143,1.5,1.6,2.11111111111111,2.42857142857143,2.75,0.833333333333333,2.25,2.625,2.8,2,2
"trad_know",2.16666666666667,1.57142857142857,1.33333333333333,2.14285714285714,1.71428571428571,1.66666666666667,1.75,NA,2.42857142857143,1,1.6,1.44444444444444,2.42857142857143,3,1.16666666666667,1.625,2.125,1.8,1.44444444444444,1.83333333333333
"inf_gov",2.5,2.14285714285714,1.44444444444444,2.28571428571429,2.14285714285714,2.16666666666667,2.625,2.66666666666667,NA,1.66666666666667,2,2.11111111111111,2.28571428571429,3,1,1.75,2.375,2.6,2,2.16666666666667
"infra",1.83333333333333,2,0.777777777777778,2.14285714285714,1.85714285714286,2.5,2.625,2.16666666666667,1.14285714285714,NA,2,2.22222222222222,1.28571428571429,1.625,1.33333333333333,2.5,2.25,2.6,1.88888888888889,2.16666666666667
"lulc",2.16666666666667,2.57142857142857,2.33333333333333,2.14285714285714,2.85714285714286,3,2.75,2.66666666666667,2,2.33333333333333,NA,2.22222222222222,1.28571428571429,1.875,2.66666666666667,2.125,2.875,2.4,2.55555555555556,2.83333333333333
"city_h2o",2.16666666666667,2.71428571428571,0.888888888888889,2.28571428571429,2.14285714285714,2,2.75,2,1.71428571428571,2.66666666666667,2.8,NA,2.71428571428571,2,1.5,2.625,2.75,2.8,2.11111111111111,2.5
"ws_edu",2.16666666666667,1.57142857142857,1.77777777777778,2.14285714285714,2.42857142857143,2,2.375,2.83333333333333,2,1.66666666666667,1.4,2.11111111111111,NA,2.5,1.16666666666667,2.125,2.375,2.2,2,2.66666666666667
"soc_cap",2.83333333333333,1.71428571428571,1.33333333333333,2,2.14285714285714,1.83333333333333,2.25,2.66666666666667,2.71428571428571,2.66666666666667,1.8,2.22222222222222,2.71428571428571,NA,0.833333333333333,1.75,2.25,2.2,1.55555555555556,2.16666666666667
"soil",1.66666666666667,2.57142857142857,2.55555555555556,2.28571428571429,2.71428571428571,2.5,1.125,2,1.28571428571429,1.66666666666667,3,1.66666666666667,0.857142857142857,0.875,NA,1.75,2.625,1.4,2.77777777777778,2.66666666666667
"tech_inn",2.33333333333333,2,1,2,2.42857142857143,1.83333333333333,2.125,2,2.28571428571429,2.33333333333333,1.6,2.33333333333333,2,2.375,1.16666666666667,NA,2.875,2.8,2.22222222222222,1.83333333333333
"h2o",2.33333333333333,2.71428571428571,2.33333333333333,2.85714285714286,3,3,2.75,2,2,3,2.8,2.77777777777778,1.85714285714286,1.625,2.83333333333333,2.875,NA,2.6,3,2.83333333333333
"ws_econ",2.33333333333333,2.57142857142857,1.33333333333333,2.57142857142857,2.42857142857143,2,2.5,2.16666666666667,2.42857142857143,3,2.6,2.55555555555556,1.57142857142857,2,1.33333333333333,2.5,2.75,NA,2.22222222222222,2.33333333333333
"wtr_clm",1,0.857142857142857,1.22222222222222,1.14285714285714,1.42857142857143,1,0.875,1,1,0.666666666666667,0.6,0.666666666666667,0.571428571428571,1.125,1,1.375,1.625,0.8,NA,1.16666666666667
"fire",2.16666666666667,1.42857142857143,2,1.85714285714286,3,3,2,2,1.71428571428571,1.5,2.6,1,1.42857142857143,1.5,2,1.625,2.5,1.2,3,NA
"ad_cap",NA,2.57142857142857,2.55555555555556,2.85714285714286,3,2.66666666666667,2.875,3,2.42857142857143,2.33333333333333,2.6,2.33333333333333,2,3,2.16666666666667,2.75,2.75,2.8,2.66666666666667,2.66666666666667
