"","adaptive capacity","agricultural water use","biodiversity","ecosystem services","environmental disturbance regimes","forest management approaches and the wildfire response","formal legal governance, policy, and policy innovations","incorporation of traditional watershed knowledges into broader understanding and approaches","informal governance","infrastructure","land use and land cover","municipal water use","public watershed education approaches and knowledge","social capital including trust, collaboration, and partnership","soil structure and function","technical innovations","water quality, quantity, and availability","watershed economics","weather and climate regimes","the wildfire regime"
"agricultural water use",0.894427190999916,NA,0.726483157256779,0.534522483824849,0.786795792469443,1.04880884817015,0.353553390593274,0.547722557505166,0.690065559342354,0.836660026534076,0,0.833333333333333,0.534522483824849,1.1259916264596,0.836660026534076,0.462910049886276,0.353553390593274,0.447213595499958,0.707106781186547,0.816496580927726
"biodiversity",0.752772652709081,0.534522483824849,NA,0.975900072948533,0.377964473009227,0.516397779494322,0.517549169506766,0.816496580927726,0.690065559342354,0.816496580927726,0,0.866025403784439,0.534522483824849,1.03509833901353,0.408248290463863,0.707106781186548,0,0.707106781186548,0,0.408248290463863
"ecosystem services",0.547722557505166,0.534522483824849,0.333333333333333,NA,0,0.516397779494322,0.707106781186548,0.816496580927726,0.577350269189626,0.547722557505166,0,0.726483157256779,0.487950036474267,0.83452296039628,0.516397779494322,0.991031208965115,0.353553390593274,1.14017542509914,0.707106781186547,0
"environmental disturbance regimes",0.547722557505166,0.690065559342354,0.927960727138337,0.690065559342354,NA,1.16904519445001,0.886405260427918,0.816496580927726,0.487950036474267,1.04880884817015,0.447213595499958,0.52704627669473,0.487950036474267,1.18773493916542,1.16904519445001,1.1259916264596,0.755928946018454,1.09544511501033,0.5,1.16904519445001
"forest management approaches and the wildfire response",0.836660026534076,0.577350269189626,0.866025403784439,0.577350269189626,0.487950036474267,NA,0.462910049886276,0.408248290463863,0.951189731211342,0.752772652709081,0.547722557505166,1.13038833052088,0.755928946018455,0.744023809142845,1.211060141639,0.755928946018454,0.517549169506766,0.836660026534076,0.52704627669473,0.408248290463863
"formal legal governance, policy, and policy innovations",0.816496580927726,0.899735410842437,0.52704627669473,1.21498579258791,0.690065559342354,0.983192080250175,NA,0.516397779494322,0.534522483824849,1.04880884817015,0.547722557505166,1.16666666666667,0.786795792469443,0.462910049886276,1.16904519445001,1.16496474502144,0.517549169506766,0.447213595499958,0.866025403784439,0.894427190999916
"incorporation of traditional watershed knowledges into broader understanding and approaches",0.752772652709081,1.13389341902768,0.866025403784439,0.899735410842437,0.755928946018455,1.03279555898864,0.707106781186548,NA,0.786795792469443,0.632455532033676,0.894427190999916,0.881917103688197,0.534522483824849,0,1.16904519445001,1.30247018062932,0.991031208965115,0.836660026534076,0.52704627669473,0.752772652709081
"informal governance",0.836660026534076,0.690065559342354,0.726483157256779,1.25356634105602,0.690065559342354,0.983192080250175,0.517549169506766,0.516397779494322,NA,1.03279555898864,0.707106781186548,0.600925212577332,0.951189731211342,0,1.26491106406735,1.38873014965883,1.06066017177982,0.547722557505166,0.707106781186548,1.16904519445001
"infrastructure",0.752772652709081,1,0.833333333333333,1.0690449676497,0.899735410842437,0.547722557505166,0.744023809142845,0.752772652709081,0.690065559342354,NA,0.707106781186548,1.092906420717,0.951189731211342,1.06066017177982,1.211060141639,0.925820099772551,0.886405260427918,0.894427190999916,1.05409255338946,1.16904519445001
"land use and land cover",0.983192080250175,0.534522483824849,0.707106781186547,0.899735410842437,0.377964473009227,0,0.462910049886276,0.516397779494322,1,0.816496580927726,NA,0.833333333333333,0.755928946018455,1.1259916264596,0.516397779494322,0.991031208965115,0.353553390593274,0.894427190999916,0.726483157256779,0.408248290463863
