Question,Type,Required,Answer 1,Answer 2,Answer 3,Answer 4
"If adaptive capacity changed, what would be its direct influence on agricultural water use and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on biodiversity and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on ecosystem services and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on environmental disturbance regimes (ecological, climactic, pollution-caused) not including fire and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on forest management approaches and the wildfire response and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on formal legal goverance and policy and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on incorporation of traditional watershed knowledges into broader understanding and approaches and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on informal governance and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on infrastructure and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on land use and land cover and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on municipal water use and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on policy innovations and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on public watershed education approaches and knowledge and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on social capital including trust, collaboration, and partnership and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on soil structure and function and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on technical innovations and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on water quality, quantity, and availability and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on watershed economics and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on weather and climate regimes and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If adaptive capacity changed, what would be its direct influence on wildfire regime and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on adaptive capacity and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on biodiversity and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on ecosystem services and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on environmental disturbance regimes (ecological, climactic, pollution-caused) not including fire and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on forest management approaches and the wildfire response and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on formal legal goverance and policy and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on incorporation of traditional watershed knowledges into broader understanding and approaches and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on informal governance and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on infrastructure and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on land use and land cover and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
"If agricultural water use changed, what would be its direct influence on municipal water use and how confident are you in your answer?",Multiple choice grid,TRUE,,,,
